src_ip,dst_ip,port,bytes
10.0.0.209,8.8.8.8,80,3662
10.0.0.106,203.0.113.10,3389,985
10.0.0.100,192.0.2.10,110,4034
10.0.0.28,1.1.1.1,443,1816
10.0.0.182,192.168.54.144,443,178
10.0.0.117,203.0.113.30,110,4049
10.0.0.182,192.0.2.10,25,1446
10.0.0.181,8.8.8.8,445,292
10.0.0.53,8.8.8.8,80,806
10.0.0.128,192.168.74.138,443,117
10.0.0.231,192.0.2.200,443,10436
10.0.0.127,192.0.2.24,23,302
10.0.0.114,8.8.8.8,25,2691
10.0.0.117,192.168.64.37,443,177
10.0.0.170,192.0.2.10,80,3858
10.0.0.8,198.51.100.20,587,2390
10.0.0.59,1.1.1.1,80,400
10.0.0.146,203.0.113.200,8080,29421
10.0.0.151,192.168.79.204,80,378
10.0.0.166,192.0.2.246,8080,92
10.0.0.156,1.1.1.1,110,2606
10.0.0.182,203.0.113.235,80,171
10.0.0.218,8.8.8.8,110,4621
10.0.0.170,8.8.8.8,443,4422
10.0.0.132,192.0.2.10,587,1590
10.0.0.238,192.0.2.230,22,440
10.0.0.146,203.0.113.200,8080,10641
10.0.0.127,192.0.2.24,25,123
10.0.0.182,192.168.174.198,80,373
10.0.0.38,1.1.1.1,587,3455
10.0.0.159,198.51.100.20,110,3349
10.0.0.67,203.0.113.30,53,4011
10.0.0.118,9.9.9.9,443,3305
10.0.0.53,192.0.2.10,443,2700
10.0.0.68,9.9.9.9,80,142
10.0.0.129,192.168.177.16,80,318
10.0.0.79,9.9.9.9,80,3721
10.0.0.231,192.0.2.200,443,26465
10.0.0.150,8.8.8.8,443,4916
10.0.0.129,192.168.41.113,80,216
10.0.0.170,198.51.100.20,25,3585
10.0.0.50,198.51.100.20,110,1318
10.0.0.82,203.0.113.30,443,3266
10.0.0.99,8.8.8.8,25,2022
10.0.0.171,8.8.8.8,53,3711
10.0.0.138,192.0.2.10,587,3235
10.0.0.20,192.0.2.10,587,546
10.0.0.200,198.51.100.20,25,3890
10.0.0.9,1.1.1.1,443,2731
10.0.0.104,198.51.100.50,22,822
10.0.0.10,192.0.2.100,3389,616
10.0.0.10,192.0.2.100,3389,668
10.0.0.243,1.1.1.1,80,218
10.0.0.47,198.51.100.20,443,513
10.0.0.144,192.168.86.206,80,268
10.0.0.19,8.8.8.8,53,963
10.0.0.121,9.9.9.9,80,174
10.0.0.10,192.0.2.100,3389,634
10.0.0.146,203.0.113.200,8080,15400
10.0.0.127,198.51.100.20,80,4100
10.0.0.151,192.168.231.186,443,167
10.0.0.107,203.0.113.136,8080,125
10.0.0.248,203.0.113.139,3389,252
10.0.0.244,192.0.2.100,21,1026
10.0.0.40,203.0.113.200,443,28308
10.0.0.128,192.168.3.217,443,338
10.0.0.124,203.0.113.233,443,128
10.0.0.106,203.0.113.10,3389,907
10.0.0.58,198.51.100.20,53,4471
10.0.0.63,192.0.2.200,22,20577
10.0.0.103,198.51.100.20,443,2131
10.0.0.60,203.0.113.30,110,369
10.0.0.63,192.0.2.200,22,12585
10.0.0.148,192.0.2.10,587,3621
10.0.0.194,203.0.113.30,25,2116
10.0.0.141,8.8.8.8,443,4971
10.0.0.190,198.51.100.203,110,194
10.0.0.154,9.9.9.9,53,1790
10.0.0.68,9.9.9.9,80,130
10.0.0.129,192.168.117.19,80,243
10.0.0.86,192.168.26.175,443,226
10.0.0.14,9.9.9.9,80,1231
10.0.0.61,203.0.113.200,22,28115
10.0.0.124,203.0.113.233,443,273
10.0.0.77,1.1.1.1,443,1669
10.0.0.155,192.0.2.100,3389,842
10.0.0.86,192.168.105.168,80,283
10.0.0.233,8.8.8.8,53,2857
10.0.0.151,192.168.149.148,80,290
10.0.0.56,1.1.1.1,587,4150
10.0.0.166,192.0.2.246,8080,118
10.0.0.238,192.0.2.230,443,375
10.0.0.168,192.0.2.10,53,1345
10.0.0.110,8.8.8.8,110,2041
10.0.0.186,192.0.2.100,3389,988
10.0.0.128,192.168.68.187,80,145
10.0.0.144,192.168.51.155,443,395
10.0.0.196,8.8.8.8,80,2387
10.0.0.210,1.1.1.1,443,1408
10.0.0.123,192.0.2.10,443,4404
10.0.0.123,198.51.100.20,110,3016
10.0.0.231,192.0.2.200,443,16883
10.0.0.106,203.0.113.10,3389,747
10.0.0.95,9.9.9.9,443,3373
10.0.0.207,8.8.8.8,25,816
10.0.0.23,1.1.1.1,443,3880
10.0.0.144,192.168.117.39,80,293
10.0.0.61,203.0.113.200,22,16956
10.0.0.40,203.0.113.200,443,23040
10.0.0.4,192.0.2.56,8080,84
10.0.0.117,192.168.148.185,80,224
10.0.0.143,198.51.100.200,443,8309
10.0.0.151,192.168.68.248,80,305
10.0.0.124,203.0.113.233,443,234
10.0.0.72,203.0.113.30,53,814
10.0.0.231,192.0.2.200,443,25794
10.0.0.33,1.1.1.1,80,2139
10.0.0.237,198.51.100.20,80,665
10.0.0.163,203.0.113.30,53,1442
10.0.0.3,203.0.113.61,3389,160
10.0.0.118,1.1.1.1,25,4551
10.0.0.111,8.8.8.8,110,3090
10.0.0.204,203.0.113.30,25,720
10.0.0.240,9.9.9.9,110,3462
10.0.0.182,1.1.1.1,53,3598
10.0.0.182,192.168.97.81,443,227
10.0.0.166,192.0.2.246,8080,275
10.0.0.182,203.0.113.235,80,207
10.0.0.182,203.0.113.235,80,177
10.0.0.143,198.51.100.200,443,22218
10.0.0.181,8.8.8.8,23,293
10.0.0.119,198.51.100.20,110,1019
10.0.0.175,192.0.2.10,443,3247
10.0.0.66,192.0.2.10,53,735
10.0.0.248,203.0.113.139,80,444
10.0.0.183,8.8.8.8,110,4641
10.0.0.190,198.51.100.203,3389,148
10.0.0.92,198.51.100.20,53,2742
10.0.0.156,203.0.113.30,25,1565
10.0.0.243,1.1.1.1,80,123
10.0.0.183,1.1.1.1,25,1642
10.0.0.142,203.0.113.30,443,3320
10.0.0.106,203.0.113.10,3389,788
10.0.0.229,1.1.1.1,25,2976
10.0.0.104,198.51.100.50,22,743
10.0.0.182,203.0.113.235,80,199
10.0.0.144,8.8.8.8,110,1765
10.0.0.25,1.1.1.1,80,4339
10.0.0.104,198.51.100.50,22,896
10.0.0.151,192.168.224.177,443,155
10.0.0.166,192.0.2.246,8080,261
10.0.0.117,192.168.75.243,443,335
10.0.0.248,203.0.113.139,443,101
10.0.0.231,192.0.2.10,443,1730
10.0.0.127,192.0.2.24,139,211
10.0.0.147,203.0.113.238,139,183
10.0.0.227,1.1.1.1,443,2534
10.0.0.145,198.51.100.50,3389,1142
10.0.0.127,192.0.2.24,53,137
10.0.0.24,203.0.113.30,443,3046
10.0.0.173,8.8.8.8,25,3096
10.0.0.225,9.9.9.9,53,4136
10.0.0.127,8.8.8.8,53,3173
10.0.0.104,9.9.9.9,80,1333
10.0.0.155,192.0.2.100,3389,907
10.0.0.28,203.0.113.30,443,1191
10.0.0.2,198.51.100.20,110,1814
10.0.0.226,203.0.113.30,443,1941
10.0.0.243,1.1.1.1,80,170
10.0.0.51,1.1.1.1,587,4166
10.0.0.215,203.0.113.30,110,509
10.0.0.104,198.51.100.50,22,1191
10.0.0.221,1.1.1.1,80,4625
10.0.0.59,8.8.8.8,25,1162
10.0.0.19,1.1.1.1,587,451
10.0.0.86,192.168.141.251,80,169
10.0.0.18,1.1.1.1,443,4995
10.0.0.72,1.1.1.1,587,2680
10.0.0.233,1.1.1.1,443,4872
10.0.0.172,192.0.2.10,443,3496
10.0.0.133,1.1.1.1,443,4176
10.0.0.136,198.51.100.20,110,1500
10.0.0.151,192.168.249.199,80,291
10.0.0.86,8.8.8.8,53,2339
10.0.0.63,192.0.2.200,22,19333
10.0.0.109,203.0.113.30,110,3944
10.0.0.182,203.0.113.235,80,158
10.0.0.170,203.0.113.200,443,27235
10.0.0.149,192.0.2.10,80,4074
10.0.0.145,198.51.100.50,3389,1060
10.0.0.143,9.9.9.9,587,3162
10.0.0.201,192.0.2.10,80,1640
10.0.0.30,9.9.9.9,25,1495
10.0.0.48,203.0.113.30,110,1556
10.0.0.66,1.1.1.1,53,411
10.0.0.73,192.0.2.10,443,870
10.0.0.104,198.51.100.50,22,1152
10.0.0.227,198.51.100.20,587,2463
10.0.0.244,192.0.2.100,21,926
10.0.0.244,198.51.100.20,80,2371
10.0.0.58,203.0.113.30,80,2253
10.0.0.186,192.0.2.100,3389,954
10.0.0.197,192.0.2.64,445,448
10.0.0.127,192.0.2.24,110,101
10.0.0.89,198.51.100.20,443,221
10.0.0.3,203.0.113.61,80,181
10.0.0.42,1.1.1.1,80,4721
10.0.0.127,192.0.2.24,21,396
10.0.0.120,192.0.2.10,53,666
10.0.0.195,198.51.100.20,110,3877
10.0.0.60,198.51.100.200,8080,10808
10.0.0.218,198.51.100.50,22,652
10.0.0.68,9.9.9.9,80,247
10.0.0.12,1.1.1.1,25,4451
10.0.0.205,198.51.100.20,53,3044
10.0.0.245,192.0.2.10,110,4335
10.0.0.12,203.0.113.30,443,3763
10.0.0.127,192.0.2.24,8080,316
10.0.0.246,1.1.1.1,587,4085
10.0.0.3,203.0.113.61,23,307
10.0.0.175,192.0.2.10,443,2264
10.0.0.218,198.51.100.50,22,1172
10.0.0.104,198.51.100.50,22,926
10.0.0.185,9.9.9.9,80,2362
10.0.0.137,9.9.9.9,25,2775
10.0.0.177,8.8.8.8,25,3833
10.0.0.64,1.1.1.1,80,1039
10.0.0.146,203.0.113.200,8080,20427
10.0.0.61,203.0.113.200,22,27516
10.0.0.201,203.0.113.30,443,3166
10.0.0.180,203.0.113.30,110,4186
10.0.0.112,9.9.9.9,587,3966
10.0.0.222,8.8.8.8,80,1510
10.0.0.155,192.0.2.100,3389,746
10.0.0.240,8.8.8.8,25,636
10.0.0.71,1.1.1.1,110,1132
10.0.0.47,203.0.113.30,25,4000
10.0.0.242,9.9.9.9,53,3235
10.0.0.135,9.9.9.9,443,1873
10.0.0.162,8.8.8.8,587,522
10.0.0.107,203.0.113.136,8080,252
10.0.0.115,8.8.8.8,110,1327
10.0.0.235,9.9.9.9,80,2305
10.0.0.155,192.0.2.100,3389,1133
10.0.0.104,192.0.2.10,53,4926
10.0.0.139,8.8.8.8,25,845
10.0.0.252,8.8.8.8,587,1023
10.0.0.129,192.168.228.161,443,327
10.0.0.79,192.0.2.10,587,455
10.0.0.106,9.9.9.9,443,1056
10.0.0.72,192.0.2.10,53,2540
10.0.0.182,203.0.113.235,80,172
10.0.0.60,198.51.100.200,8080,14086
10.0.0.151,192.168.168.201,443,294
10.0.0.218,198.51.100.50,22,640
10.0.0.132,9.9.9.9,53,3170
10.0.0.61,203.0.113.200,22,27830
10.0.0.184,198.51.100.20,53,2535
10.0.0.124,203.0.113.233,443,258
10.0.0.40,198.51.100.20,443,897
10.0.0.168,9.9.9.9,80,1129
10.0.0.166,192.0.2.246,8080,81
10.0.0.100,198.51.100.20,53,1456
10.0.0.147,203.0.113.238,53,231
10.0.0.15,9.9.9.9,80,762
10.0.0.155,192.0.2.100,3389,1170
10.0.0.3,203.0.113.61,21,338
10.0.0.18,9.9.9.9,53,4770
10.0.0.147,203.0.113.238,443,157
10.0.0.100,8.8.8.8,443,2039
10.0.0.7,198.51.100.20,110,2085
10.0.0.204,203.0.113.30,587,2941
10.0.0.10,1.1.1.1,53,2133
10.0.0.68,9.9.9.9,80,138
10.0.0.186,192.0.2.100,3389,1071
10.0.0.21,1.1.1.1,53,3546
10.0.0.157,203.0.113.30,80,4575
10.0.0.62,203.0.113.30,587,2554
10.0.0.163,9.9.9.9,443,660
10.0.0.254,198.51.100.20,110,2799
10.0.0.210,198.51.100.20,53,3925
10.0.0.245,1.1.1.1,80,366
10.0.0.153,8.8.8.8,25,4327
10.0.0.145,198.51.100.50,3389,737
10.0.0.59,192.0.2.10,110,4760
10.0.0.154,192.0.2.10,80,1529
10.0.0.46,1.1.1.1,80,4618
10.0.0.104,198.51.100.50,22,839
10.0.0.106,203.0.113.30,80,812
10.0.0.175,192.168.230.251,80,183
10.0.0.29,198.51.100.20,25,3031
10.0.0.175,192.168.89.245,443,150
10.0.0.243,1.1.1.1,80,127
10.0.0.42,192.0.2.10,110,2678
10.0.0.166,203.0.113.30,110,374
10.0.0.19,198.51.100.20,53,2126
10.0.0.114,8.8.8.8,25,3822
10.0.0.52,192.0.2.10,25,1073
10.0.0.48,192.0.2.10,80,3106
10.0.0.84,198.51.100.20,25,4307
10.0.0.70,1.1.1.1,587,1085
10.0.0.117,192.168.158.108,80,126
10.0.0.173,9.9.9.9,587,784
10.0.0.3,203.0.113.61,8080,257
10.0.0.50,198.51.100.20,25,1348
10.0.0.131,192.0.2.10,443,616
10.0.0.168,192.0.2.10,443,1686
10.0.0.68,9.9.9.9,80,207
10.0.0.193,192.0.2.10,80,1258
10.0.0.242,1.1.1.1,443,1145
